text,category
Motor inboard bearing making a loud screeching noise during startup on exhaust fan 3.,bearing_failure
"Conveyor drive pulley bearing seized up completely, snapped the drive key.",bearing_failure
"High vibration and elevated temp on the blower motor DE bearing, needs replacement ASAP.",bearing_failure
Cooling tower pump #2 outboard bearing showing signs of spalling and heavy rumble.,bearing_failure
"Air compressor main screw bearing failed, unit tripped on high discharge temp.",bearing_failure
Exhaust fan #4 housing is vibrating excessively due to a dry bearing.,bearing_failure
Sleeve bearing on conveyor return roller is squealing under load.,bearing_failure
"Chilled water pump NDE bearing failed, shaft has noticeable radial play.",bearing_failure
"Industrial mixer gearbox output shaft bearing seized, stalling the drive motor.",bearing_failure
"Cooling fan motor bearing smoking and smelling like burnt grease, shut down immediately.",bearing_failure
"Boiler feed pump #1 bearing temp spiked to 195F, possible lack of lube or spalling.",bearing_failure
"Pellet mill main roller bearing making a grinding metallic noise, scheduled for weekend overhaul.",bearing_failure
"AHU-2 supply fan belt-end bearing is failing, loud roaring sound audible in mechanical room.",bearing_failure
Centrifugal compressor thrust bearing showing high axial vibration readings.,bearing_failure
"Rotary airlock motor bearing failed, jammed the rotor and tripped the overload.",bearing_failure
Draft fan outboard sleeve bearing wiped out due to oil flow interruption.,bearing_failure
Hydraulic power unit electric motor DE bearing rumbling loudly at 1750 RPM.,bearing_failure
"Sifter machine eccentric shaft bearing seized, locked up the entire drive assembly.",bearing_failure
Cooling tower fan gearbox intermediate shaft bearing spalling.,bearing_failure
Pneumatic transfer blower bearing failure caused severe rotor rub against housing.,bearing_failure
Washdown pump motor inboard bearing has a high-pitched squeal.,bearing_failure
"Crusher feed conveyor tail pulley bearing seized, belt slipping on drive drum.",bearing_failure
"Recirculating pump shaft bearing failed, heavy vibration at 60Hz frequency.",bearing_failure
"Cooling fan sleeve bearing making a rhythmic ticking noise, added oil but noise persists.",bearing_failure
"Air handler unit #5 motor bearing is failing, high vibration detected on thermographic scan.",bearing_failure
Exhauster fan motor non-drive end bearing seized and housing is cracked.,bearing_failure
Vacuum pump coupling-side bearing overheating and emitting a loud hum.,bearing_failure
Vertical turbine pump line shaft bearing seized in column pipe.,bearing_failure
"Mixer agitator gearbox bearing failure, metal shavings found in drain oil sample.",bearing_failure
"Booster pump motor drive end bearing is completely locked up, thermal overload tripped.",bearing_failure
"Infeed conveyor tail pulley bearing making grinding noise, inspect ASAP.",bearing_failure
Exhaust fan motor drive-end bearing running hot at 185F with heavy vibration.,bearing_failure
"Centrifugal pump #3 outboard sleeve bearing seized completely, tripping thermal overload.",bearing_failure
Cooling tower fan gearbox intermediate shaft bearing showing high spectral peaks on VA route.,bearing_failure
"Air compressor primary screw air-end bearing roaring under load, schedule rebuild.",bearing_failure
"Exhaust blower inboard bearing failure, heavy metal flakes found in grease sample.",bearing_failure
"Aggregator drum trunnion bearing locked up, causing drive belt to shred.",bearing_failure
Cooling water booster pump non-drive end bearing rattling at 1750 RPM.,bearing_failure
