text,category,clean_text,label
"Drawbench carriage motor overheated during heavy pull, check brake drag.",overheating,drawbench carriage motor overheated during heavy pull check brake drag,4
"Hydraulic press main cylinder LVDT feedback lost, axis stalled mid-stroke.",sensor_malfunction,hydraulic press main cylinder lvdt feedback lost axis stalled mid-stroke,5
Pinhole spray on high-pressure line feeding the clamping cylinder of die cast machine #2.,hydraulic_leak,pinhole spray on high-pressure line feeding the clamping cylinder of die cast machine 2,3
"Boiler feedwater booster pump bearing making rhythmic knocking noise, vibration increasing.",bearing_failure,boiler feedwater booster pump bearing making rhythmic knocking noise vibration increasing,0
"Compressor room ambient temp thermistor missing head, wires exposed.",sensor_malfunction,compressor room ambient temp thermistor missing head wires exposed,5
"Main intake damper actuator motor internal wiring burnt out, manual override stuck in closed position.",electrical_fault,main intake damper actuator motor internal wiring burnt out manual override stuck in closed position,2
"Screw conveyor flighting worn down on lead section, low output.",wear_and_tear,screw conveyor flighting worn down on lead section low output,7
Chiller water loop circ pump motor overheating due to failing winding insulation on phase C.,overheating,chiller water loop circ pump motor overheating due to failing winding insulation on phase c,4
Chiller unit 2 firmware crash resulting in loss of PID loop control for chilled water setpoint.,software_control_fault,chiller unit 2 firmware crash resulting in loss of pid loop control for chilled water setpoint,6
"Rotary air lock valve seals leaking air, dropping system pressure by 15 psi.",wear_and_tear,rotary air lock valve seals leaking air dropping system pressure by 15 psi,7
Agitator motor on mixing tank #4 tripping instantly upon manual start; megger showed shorted windings.,electrical_fault,agitator motor on mixing tank 4 tripping instantly upon manual start megger showed shorted windings,2
Cooling tower water pump #2 casing heavily pitted from galvanic action near the bronze impeller mating surface.,corrosion,cooling tower water pump 2 casing heavily pitted from galvanic action near the bronze impeller mating surface,1
"Air compressor stage 2 intercooler thermal shutdown, ambient room temp near 105°F.",overheating,air compressor stage 2 intercooler thermal shutdown ambient room temp near 105 f,4
"Silo 3 radar level sensor reading 100% full when bin is empty, check antenna buildup.",sensor_malfunction,silo 3 radar level sensor reading 100 full when bin is empty check antenna buildup,5
Motor winding short on ventilation unit 3; unit out of service pending rewinding.,electrical_fault,motor winding short on ventilation unit 3 unit out of service pending rewinding,2
Ball mill trunnion bearing grease contaminated with metal flakes from cage wear.,wear_and_tear,ball mill trunnion bearing grease contaminated with metal flakes from cage wear,7
SCADA historical data logging stopped due to SQL database buffer overflow.,software_control_fault,scada historical data logging stopped due to sql database buffer overflow,6
"Air compressor 2 starter overload heater element burned out, replaced element and verified calibration.",electrical_fault,air compressor 2 starter overload heater element burned out replaced element and verified calibration,2
Mixer agitator shaft sleeve deeply grooved where packing contacts surface.,wear_and_tear,mixer agitator shaft sleeve deeply grooved where packing contacts surface,7
"Hydraulic reservoir #7 hitting 150F limit, thermal expansion valve on water circuit is stuck.",overheating,hydraulic reservoir 7 hitting 150f limit thermal expansion valve on water circuit is stuck,4
Stacker crane Z-axis laser distance sensor throwing error code E-04 intermittently.,sensor_malfunction,stacker crane z-axis laser distance sensor throwing error code e-04 intermittently,5
Packaging line conveyor roller bearing seized and smoking.,bearing_failure,packaging line conveyor roller bearing seized and smoking,0
Stamping press clutch solenoid overheating and burning out repeatedly.,overheating,stamping press clutch solenoid overheating and burning out repeatedly,4
"Boiler feed pump #1 outboard bearing temp at 190°F, grease line is blocked.",overheating,boiler feed pump 1 outboard bearing temp at 190 f grease line is blocked,4
"Hydraulic power unit electric motor bearing failed catastrophically, smoke observed.",bearing_failure,hydraulic power unit electric motor bearing failed catastrophically smoke observed,0
HVAC supply air blower bearing rumbling loudly; scheduled for replacement.,bearing_failure,hvac supply air blower bearing rumbling loudly scheduled for replacement,0
"Pellet mill main roller bearing failure caused catastrophic jam, cleanup required.",bearing_failure,pellet mill main roller bearing failure caused catastrophic jam cleanup required,0
Internal scale build-up in RO system pre-filter housing causing high differential pressure.,corrosion,internal scale build-up in ro system pre-filter housing causing high differential pressure,1
"Conveyor indexer cylinder leaking past piston rod wiper, slip hazard on floor.",hydraulic_leak,conveyor indexer cylinder leaking past piston rod wiper slip hazard on floor,3
"Severe hydraulic fluid leak from spool valve bank on stamping press #1, safety hazard.",hydraulic_leak,severe hydraulic fluid leak from spool valve bank on stamping press 1 safety hazard,3
Main air compressor stage 2 discharge air temp alarm active at 215F.,overheating,main air compressor stage 2 discharge air temp alarm active at 215f,4
"Line 6 reject gate limit switch arm bent, position feedback lost.",sensor_malfunction,line 6 reject gate limit switch arm bent position feedback lost,5
"Slurry pump gland water flush lost, causing immediate thermal runaway and sleeve bearing seizure.",bearing_failure,slurry pump gland water flush lost causing immediate thermal runaway and sleeve bearing seizure,0
Pinched O-ring on filter housing cover spraying hydraulic oil across skid base.,hydraulic_leak,pinched o-ring on filter housing cover spraying hydraulic oil across skid base,3
"Glue melter tank temp controller failed closed, adhesive degraded and carbonized inside the reservoir.",overheating,glue melter tank temp controller failed closed adhesive degraded and carbonized inside the reservoir,4
Boiler feed pump motor pulling high amps and running hot after coupling realignment.,overheating,boiler feed pump motor pulling high amps and running hot after coupling realignment,4
"Corrosion on motor enclosure fins and junction box, cover screws seized.",corrosion,corrosion on motor enclosure fins and junction box cover screws seized,1
Conveyor belt drive motor smoking upon startup; opened terminal box and found melted wire insulation on phase A.,electrical_fault,conveyor belt drive motor smoking upon startup opened terminal box and found melted wire insulation on phase a,2
"Severe insulation breakdown on feed pump motor leads, scheduling immediate rewiring.",electrical_fault,severe insulation breakdown on feed pump motor leads scheduling immediate rewiring,2
Cooling water pump 1 auto-start logic failing to trigger despite low pressure flag in SCADA.,software_control_fault,cooling water pump 1 auto-start logic failing to trigger despite low pressure flag in scada,6
Packaging line 3 guide rails worn thin by constant friction; products jamming on curves.,wear_and_tear,packaging line 3 guide rails worn thin by constant friction products jamming on curves,7
Boiler steam drum level DP cell calibration drifted significantly from sight glass.,sensor_malfunction,boiler steam drum level dp cell calibration drifted significantly from sight glass,5
Exhaust blower motor seized and smoking; windings completely burned out from prolonged overload.,electrical_fault,exhaust blower motor seized and smoking windings completely burned out from prolonged overload,2
"Pasteurizer recirc pump seal flush water pressure lost, stuffing box running extremely hot.",overheating,pasteurizer recirc pump seal flush water pressure lost stuffing box running extremely hot,4
Condensate return line pinhole leak due to internal corrosion near 90-degree elbow.,corrosion,condensate return line pinhole leak due to internal corrosion near 90-degree elbow,1
Deaerator pressure control loop experiencing severe integral windup and oscillating wildly.,software_control_fault,deaerator pressure control loop experiencing severe integral windup and oscillating wildly,6
Sleeve bearing on conveyor return roller is squealing under load.,bearing_failure,sleeve bearing on conveyor return roller is squealing under load,0
Cooling tower structural support beams showing advanced atmospheric corrosion and flaking scale near basin waterline.,corrosion,cooling tower structural support beams showing advanced atmospheric corrosion and flaking scale near basin waterline,1
Hydraulic fluid leaking past the spool valve end cap on directional control valve #3.,hydraulic_leak,hydraulic fluid leaking past the spool valve end cap on directional control valve 3,3
Pasteurizer outlet flow meter output signal fluctuating wildly between 0 and 50 GPM.,sensor_malfunction,pasteurizer outlet flow meter output signal fluctuating wildly between 0 and 50 gpm,5
Weeping fitting on the return manifold of hydraulic press 2.,hydraulic_leak,weeping fitting on the return manifold of hydraulic press 2,3
Chilled water loop differential pressure transmitter zero point drifted out of spec.,sensor_malfunction,chilled water loop differential pressure transmitter zero point drifted out of spec,5
"Main air compressor stage 2 discharge pipe glowing red, unloading valve stuck.",overheating,main air compressor stage 2 discharge pipe glowing red unloading valve stuck,4
"Submersible sump pump running dry, thermal cutoff tripped.",overheating,submersible sump pump running dry thermal cutoff tripped,4
Sludge press hydraulic pack overheating due to low fluid level and heavy continuous cycling.,overheating,sludge press hydraulic pack overheating due to low fluid level and heavy continuous cycling,4
Chiller compressor crankcase heater fused shorted; replaced heater element and 10A supply fuse.,electrical_fault,chiller compressor crankcase heater fused shorted replaced heater element and 10a supply fuse,2
"Mixing tank jacket cooling water valve failed shut, batch temp exceeded 95C.",overheating,mixing tank jacket cooling water valve failed shut batch temp exceeded 95c,4
"Hydraulic press oil cooler fan not engaging, fluid temp climbing past 150F.",overheating,hydraulic press oil cooler fan not engaging fluid temp climbing past 150f,4
"HMI screen freezing intermittently on blend tank 4 control page, requires hard reboot.",software_control_fault,hmi screen freezing intermittently on blend tank 4 control page requires hard reboot,6
"Hydraulic leak at the steering orbital valve threaded port, requires new fitting.",hydraulic_leak,hydraulic leak at the steering orbital valve threaded port requires new fitting,3
"Exhaust fan #3 motor smoking upon startup, pulled breaker immediately.",overheating,exhaust fan 3 motor smoking upon startup pulled breaker immediately,4
Cooling tower fan motor housing suffering from advanced flaking rust and pitting.,corrosion,cooling tower fan motor housing suffering from advanced flaking rust and pitting,1
"Blown control fuse on packing machine PLC input card, replaced with 2A fast-blow.",electrical_fault,blown control fuse on packing machine plc input card replaced with 2a fast-blow,2
"Exhaust fan VFD dropped off the Modbus RTU network, operator unable to adjust speed from control room.",software_control_fault,exhaust fan vfd dropped off the modbus rtu network operator unable to adjust speed from control room,6
"Main air compressor stage 2 rotor bearing failed, unit tripped on high motor amps.",bearing_failure,main air compressor stage 2 rotor bearing failed unit tripped on high motor amps,0
Palletizer 1 servo drive throwing communication fault over Profibus network intermittently.,software_control_fault,palletizer 1 servo drive throwing communication fault over profibus network intermittently,6
"Bucket elevator belt splices slipping, tension adjustment maxed out.",wear_and_tear,bucket elevator belt splices slipping tension adjustment maxed out,7
Severe rust accumulation on the 4-inch discharge spool piece causing minor weeping at the flanged gasket.,corrosion,severe rust accumulation on the 4-inch discharge spool piece causing minor weeping at the flanged gasket,1
"Blown 15A control fuse on Conveyor 4 VFD input; replaced fuse, checked for binding, ok.",electrical_fault,blown 15a control fuse on conveyor 4 vfd input replaced fuse checked for binding ok,2
"Stacker crane PLC watchdog timer expired, axis 3 servo position lost.",software_control_fault,stacker crane plc watchdog timer expired axis 3 servo position lost,6
"Reactor vessel temp probe drifting up 15C, batch heating cycle compromised.",sensor_malfunction,reactor vessel temp probe drifting up 15c batch heating cycle compromised,5
Deaerator pump bearing making a loud rattling noise at 3600 RPM.,bearing_failure,deaerator pump bearing making a loud rattling noise at 3600 rpm,0
Pasteurizer 1 temperature recording chart on SCADA freezing during sterilization phase.,software_control_fault,pasteurizer 1 temperature recording chart on scada freezing during sterilization phase,6
Blown seal on the counterbalance valve block of overhead crane winch.,hydraulic_leak,blown seal on the counterbalance valve block of overhead crane winch,3
Heavy rust accumulation on conveyor idler roller bearings causing belt drag and motor overload.,corrosion,heavy rust accumulation on conveyor idler roller bearings causing belt drag and motor overload,1
Conveyor line 5 photo-eye wiring chewed by rodents; spliced and heat-shrunk 24V signal lines.,electrical_fault,conveyor line 5 photo-eye wiring chewed by rodents spliced and heat-shrunk 24v signal lines,2
"HVAC supply fan pulley bearing dry and squealing, needs immediate grease.",bearing_failure,hvac supply fan pulley bearing dry and squealing needs immediate grease,0
Feed water pump casing overheating; suspect internal recirculation and worn wear rings.,overheating,feed water pump casing overheating suspect internal recirculation and worn wear rings,4
Air compressor oil separator gasket flattened and leaking under high load.,wear_and_tear,air compressor oil separator gasket flattened and leaking under high load,7
"Damaged wiring harness on indexing conveyor motor, rodent chew marks visible.",electrical_fault,damaged wiring harness on indexing conveyor motor rodent chew marks visible,2
"Feed conveyor belt #3 showing heavy fraying along edges, needs replacement before next shift.",wear_and_tear,feed conveyor belt 3 showing heavy fraying along edges needs replacement before next shift,7
"Pneumatic actuator rod seal failing on valve CV-104, slight pressure drop noted.",wear_and_tear,pneumatic actuator rod seal failing on valve cv-104 slight pressure drop noted,7
"Main ventilation fan motor making loud humming noise, thermal overload tripped.",electrical_fault,main ventilation fan motor making loud humming noise thermal overload tripped,2
Rust accumulation on emergency diesel generator fuel tank fill neck and surrounding deck plating.,corrosion,rust accumulation on emergency diesel generator fuel tank fill neck and surrounding deck plating,1
HVAC unit 2 controller stuck in summer mode due to a corrupted boolean bit in the master schedule.,software_control_fault,hvac unit 2 controller stuck in summer mode due to a corrupted boolean bit in the master schedule,6
"Main air compressor starter coil burned out, contactor chatter observed prior to failure.",electrical_fault,main air compressor starter coil burned out contactor chatter observed prior to failure,2
HVAC ductwork seam separation above cleanroom 2 caused by acidic vapor condensation and rust-out.,corrosion,hvac ductwork seam separation above cleanroom 2 caused by acidic vapor condensation and rust-out,1
Rotary kiln drive PLC lost synchronization with master encoder pulse train.,software_control_fault,rotary kiln drive plc lost synchronization with master encoder pulse train,6
"Chiller unit 3 PLC battery low warning active, memory backup at risk before next shutdown.",software_control_fault,chiller unit 3 plc battery low warning active memory backup at risk before next shutdown,6
"Stoker drive gear reducer output bearing spalled, metal shavings in oil sight glass.",bearing_failure,stoker drive gear reducer output bearing spalled metal shavings in oil sight glass,0
Pasteurizer temperature chart recorder trending software crashing upon startup on workstation 3.,software_control_fault,pasteurizer temperature chart recorder trending software crashing upon startup on workstation 3,6
"Boiler draft fan inboard bearing temp spike to 210F, shutting down for replacement.",bearing_failure,boiler draft fan inboard bearing temp spike to 210f shutting down for replacement,0
O-ring failure on the hydraulic manifold block causing heavy dripping onto structural framing.,hydraulic_leak,o-ring failure on the hydraulic manifold block causing heavy dripping onto structural framing,3
"Roller mill drive shaft bearing vibrating severely, grease is burnt black.",bearing_failure,roller mill drive shaft bearing vibrating severely grease is burnt black,0
"Palletizer lift chain guide blocks worn flat, chain rubbing on frame.",wear_and_tear,palletizer lift chain guide blocks worn flat chain rubbing on frame,7
Crushed crush washer on banjo bolt of brake caliper hydraulic line.,hydraulic_leak,crushed crush washer on banjo bolt of brake caliper hydraulic line,3
"Main air compressor oil-free screw bearing rumbling, metal particles in filter.",bearing_failure,main air compressor oil-free screw bearing rumbling metal particles in filter,0
Fuel oil day tank bottom plate showing heavy scale and pitting during internal inspection; patch required.,corrosion,fuel oil day tank bottom plate showing heavy scale and pitting during internal inspection patch required,1
Cracked filter housing head spraying oil upon startup.,hydraulic_leak,cracked filter housing head spraying oil upon startup,3
Severe hydraulic leak at the quick-disconnect couplings of the portable filter cart.,hydraulic_leak,severe hydraulic leak at the quick-disconnect couplings of the portable filter cart,3
"Rotary kiln drive motor winding insulation degraded, failing hi-pot test.",electrical_fault,rotary kiln drive motor winding insulation degraded failing hi-pot test,2
"Pinhole in steel hardline near manifold block, spraying atomized oil.",hydraulic_leak,pinhole in steel hardline near manifold block spraying atomized oil,3
"Gasket failure on hydraulic reservoir clean-out cover, pooling oil underneath.",hydraulic_leak,gasket failure on hydraulic reservoir clean-out cover pooling oil underneath,3
